crashid,date,hour,day,city_section,highwayid,milepost,lat,lon,road_type,road_desc,street_name,isect_num,lane_quantity,crash_severity,volume,speed,weather1,weather2,precip,temp,wind,cloud,visibility,road_cond,light_cond
1662993,2016-03-28,15:00:00,MONDAY,Portland N,1,302.5,45.536883,-122.667986,CN,STRGHT,NB EF WILLIAMS C2,267,2,INJ,1110.00,51.00,Mostly Cloudy,CLR,0,53.79,3.25,0.76,9,DRY,DAY
1663285,2016-03-30,08:00:00,WEDNESDAY,Portland N,1,307.5,45.605944,-122.682294,MN,STRGHT,PACIFIC HY I-5,9902,3,INJ,815.00,63.00,Clear,CLR,0,42.19,0.64,0,9,DRY,DAY
1663333,2016-04-03,21:00:00,SUNDAY,Portland N,1,304,45.553167,-122.678753,MN,STRGHT,PACIFIC HY I-5,9429,6,INJ,761.00,56.00,Overcast,CLR,0.0008,60.99,8.05,1,9,DRY,DLIT
1663429,2016-03-31,17:00:00,THURSDAY,Portland SE,1,300.5,45.509092,-122.667256,MN,STRGHT,PACIFIC HY I-5,9452,3,INJ,574.00,36.00,Clear,UNK,0,73.79,2.01,0.12,9,UNK,DAY
1663713,2016-04-01,21:00:00,FRIDAY,Portland N,1,302.5,45.538972,-122.670236,MN,STRGHT,PACIFIC HY I-5,9432,7,INJ,1128.00,53.00,Clear,CLR,0,63.66,0.28,0,9,DRY,DLIT
1663761,2016-04-04,10:00:00,MONDAY,Portland N,1,305,45.573064,-122.678742,MN,STRGHT,PACIFIC HY I-5,9420,4,INJ,1156.00,54.00,Mostly Cloudy,RAIN,0,50.37,2.92,0.87,9,WET,DAY
1663927,2016-04-06,14:00:00,WEDNESDAY,Portland SW,1,300,45.502725,-122.674506,MN,STRGHT,SB EF MARQUAM BR,9496,2,INJ,831.00,12.50,Clear,CLR,0,66.22,2.38,0.06,9,DRY,DAY
1664381,2016-07-13,13:00:00,WEDNESDAY,Portland Bridges,1,300.5,45.507097,-122.670614,MN,BRIDGE,MARQUAM BRIDGE,9452,4,INJ,408.00,56.67,Clear,CLR,0,74.03,6.03,0.23,9,DRY,DAY
1664522,2016-04-09,00:00:00,SATURDAY,Portland N,1,305,45.572211,-122.678744,MN,STRGHT,PACIFIC HY I-5,9420,4,INJ,427.00,57.50,Clear,CLR,0,58.66,6.03,0,9,DRY,DAY
1664580,2016-07-09,16:00:00,SATURDAY,Portland NE,1,302,45.528903,-122.665375,MN,STRGHT,PACIFIC HY I-5,9436,6,INJ,1037.00,32.50,Mostly Cloudy,CLR,0,70.9,4.96,0.75,9,DRY,DAY
1664621,2016-06-05,16:00:00,SUNDAY,Portland N,1,308,45.611722,-122.679153,MN,BRIDGE,PACIFIC HY I-5,9458,6,FAT,765.00,51.00,Clear,CLR,0,99.54,2.92,0,9,DRY,DAY
1665779,2016-04-28,13:00:00,THURSDAY,Portland Bridges,1,300.5,45.507658,-122.669642,MN,BRIDGE,MARQUAM BRIDGE,9551,3,INJ,313.00,58.33,Mostly Cloudy,CLR,0,57.57,4.03,0.83,9,DRY,DAY
1666205,2016-04-13,08:00:00,WEDNESDAY,Portland N,1,305,45.570703,-122.678717,MN,STRGHT,PACIFIC HY I-5,9420,4,INJ,1174.00,55.00,Mostly Cloudy,CLR,0,48.75,0.72,0.79,9,DRY,DAY
