crashid,date,hour,day,city_section,highwayid,milepost,lat,lon,road_type,road_desc,street_name,isect_num,lane_quantity,crash_severity,volume,speed,weather1,weather2,precip,temp,wind,cloud,visibility,road_cond,light_cond
1660071,2016-02-11,00:00:00,THURSDAY,Portland Bridges,2,300.5,45.508553,-122.668094,MN,BRIDGE,MARQUAM BRIDGE,9453,4,INJ,115.00,42.00,Mostly Cloudy,RAIN,0,53.61,4.03,0.71,9,WET,DAY
1660283,2016-02-21,15:00:00,SUNDAY,Portland SE,2,301,45.512339,-122.667508,MN,BRIDGE,PACIFIC HY I-5,9460,3,INJ,1125.00,52.00,Mostly Cloudy,CLR,0,52.72,2.94,0.76,9,DRY,DAY
1660296,2016-02-21,14:00:00,SUNDAY,Portland N,2,308,45.613064,-122.678081,MN,BRIDGE,PACIFIC HY I-5,9457,3,INJ,796.00,52.00,Overcast,CLR,0,50.56,3.15,0.88,9,DRY,DAY
1660721,2016-02-18,20:00:00,THURSDAY,Portland NE,2,302,45.531456,-122.665194,MN,STRGHT,PACIFIC HY I-5,9434,6,INJ,738.00,55.50,Overcast,RAIN,0.0013,47.3,4.47,0.96,9,WET,DLIT
1660852,2016-02-06,21:00:00,SATURDAY,Portland Bridges,2,300.5,45.507089,-122.670625,MN,BRIDGE,MARQUAM BRIDGE,9453,4,INJ,431.00,52.33,Mostly Cloudy,CLD,0,47.49,2.01,0.85,9,DRY,DARK
1660862,2016-02-20,14:00:00,SATURDAY,Portland SE,2,300.5,45.510083,-122.666656,MN,STRGHT,PACIFIC HY I-5,9460,4,INJ,1227.00,52.67,Clear,CLR,0,52.72,2.01,0.13,9,DRY,DAY
1660885,2016-03-01,15:00:00,TUESDAY,Portland SE,2,300.5,45.510889,-122.666731,MN,BRIDGE,PACIFIC HY I-5,9460,3,INJ,1233.00,50.33,Possible Drizzle,RAIN,0.0058,53.46,10.96,0.76,9,WET,DAY
1661189,2016-02-27,21:00:00,SATURDAY,Portland N,2,307.5,45.607336,-122.681475,MN,BRIDGE,PACIFIC HY I-5,9456,6,INJ,168.00,70.00,Clear,CLR,0,48.6,0.83,0,9,DRY,DLIT
1661745,2016-03-04,15:00:00,FRIDAY,Portland SW,2,299,45.490192,-122.675033,MN,STRGHT,PACIFIC HY I-5,9480,6,INJ,1679.00,46.67,Overcast,RAIN,0,61.72,4.92,1,9,WET,DAY
1662036,2016-03-13,06:00:00,SUNDAY,Portland SW,2,299.5,45.497408,-122.673261,MN,STRGHT,PACIFIC HY I-5,9492,6,INJ,130.00,60.67,Overcast,RAIN,0.0007,44.07,2.97,1,9,WET,DLIT
1662618,2016-03-16,00:00:00,WEDNESDAY,Portland N,2,308,45.616969,-122.675781,MN,BRIDGE,PACIFIC HY I-5,9457,6,INJ,204.00,58.67,Overcast,CLR,0,45.52,0.4,1,8,DRY,DAY
1662760,2016-03-24,17:00:00,THURSDAY,Portland SE,2,301,45.514594,-122.667614,MN,STRGHT,PACIFIC HY I-5,9460,6,INJ,940.00,54.00,Overcast,CLR,0,51.44,8.96,1,9,DRY,DAY
1662780,2016-03-25,15:00:00,FRIDAY,Portland SW,2,299.5,45.497114,-122.673275,MN,STRGHT,PACIFIC HY I-5,9492,3,INJ,1171.00,26.00,Partly Cloudy,CLR,0,52.72,0.91,0.56,9,DRY,DAY
1662795,2016-03-25,13:00:00,FRIDAY,Portland N,2,307.5,45.605392,-122.682203,MN,STRGHT,PACIFIC HY I-5,9101,6,INJ,321.00,70.00,Overcast,CLR,0.0004,52,1.2,0.88,9,DRY,DAY
1663254,2016-03-30,21:00:00,WEDNESDAY,Portland SW,2,299.5,45.494019,-122.673419,MN,STRGHT,PACIFIC HY I-5,9492,6,INJ,912.00,62.33,Clear,CLR,0,60.71,0.19,0,9,DRY,DLIT
1663448,2016-03-31,10:00:00,THURSDAY,Portland N,2,305,45.572814,-122.678575,MN,STRGHT,PACIFIC HY I-5,9419,8,INJ,1354.00,25.33,Clear,UNK,0,56.31,0.81,0.06,9,UNK,DAY
1663740,2016-04-02,17:00:00,SATURDAY,Portland N,2,308,45.612806,-122.678239,MN,STRGHT,PACIFIC HY I-5,9457,6,INJ,1123.00,55.00,Clear,CLR,0,70.35,0.94,0,9,DRY,DAY
1663819,2016-04-05,17:00:00,TUESDAY,Portland N,2,304,45.556194,-122.678483,MN,STRGHT,PACIFIC HY I-5,9427,6,INJ,935.00,39.33,Clear,CLR,0,60.1,2.92,0.06,9,DRY,DAY
1663953,2016-05-21,16:00:00,SATURDAY,Portland N,2,305.5,45.576375,-122.678508,MN,STRGHT,PACIFIC HY I-5,9416,6,INJ,1255.00,23.00,Possible Light Rain,CLR,0.0166,56.49,2.98,1,8,DRY,DAY
1664009,2016-04-06,14:00:00,WEDNESDAY,Portland N,2,308,45.615406,-122.676694,MN,BRIDGE,PACIFIC HY I-5,9457,3,INJ,950.00,54.67,Clear,CLR,0,66.22,2.38,0.06,9,DRY,DAY
1664449,2016-04-08,18:00:00,FRIDAY,Portland N,2,304.5,45.562353,-122.678439,MN,STRGHT,PACIFIC HY I-5,9423,6,INJ,935.00,59.67,Clear,CLR,0,80.6,3.25,0,9,DRY,DAY
1664518,2016-04-09,17:00:00,SATURDAY,Portland N,2,305.5,45.576964,-122.678503,MN,STRGHT,PACIFIC HY I-5,9416,5,INJ,1087.00,29.33,Clear,CLR,0,66.69,1.04,0.01,9,DRY,DAY
1665918,2016-04-29,17:00:00,FRIDAY,Portland Bridges,2,300.5,45.507864,-122.669286,MN,BRIDGE,MARQUAM BRIDGE,9452,3,INJ,1048.00,28.67,Drizzle,RAIN,0.0145,58.11,2.92,0.99,9,WET,DAY
1666064,2016-04-30,00:00:00,SATURDAY,Portland SE,2,300.5,45.509436,-122.666922,MN,BRIDGE,PACIFIC HY I-5,9460,4,INJ,312.00,52.00,Clear,CLR,0,52,4.03,0.28,9,DRY,DAY
1666132,2016-04-18,06:00:00,MONDAY,Portland SE,2,301,45.515872,-122.667289,MN,STRGHT,PACIFIC HY I-5,9460,6,INJ,1236.00,54.00,Clear,CLR,0,66.22,2.01,0,9,DRY,DAY
1666193,2016-04-21,02:00:00,THURSDAY,Portland N,2,304,45.559386,-122.678439,MN,STRGHT,PACIFIC HY I-5,9427,6,INJ,177.00,29.33,Clear,CLR,0,58.47,2.01,0.2,9,DRY,DARK
1666230,2016-04-26,15:00:00,TUESDAY,Portland N,2,306,45.585994,-122.679975,MN,STRGHT,PACIFIC HY I-5,9414,4,INJ,880.00,63.00,Partly Cloudy,CLR,0,60.1,2.01,0.35,9,WET,DAY
1666323,2016-04-18,15:00:00,MONDAY,Portland SW,2,300,45.506231,-122.672286,MN,BRIDGE,MARQUAM BRIDGE,9550,2,INJ,914.00,40.00,Clear,CLR,0,86.04,8.96,0,9,DRY,DAY
