crashid,date,hour,day,city_section,highwayid,milepost,lat,lon,road_type,road_desc,street_name,isect_num,lane_quantity,vehicleid,partic_type,age,gender,vehicle_type,striking_vehicle,collision_type,crash_severity,injury_severity,vehicle_movement,vehicle_direction,volume,speed,weather1,weather2,precip,temp,wind,cloud,visibility,road_cond,light_cond,speeding,alcohol,drug
1691652,2016-02-17,15:00:00,WEDNESDAY,Portland N,1,305,45.572872,-122.678744,MN,STRGHT,PACIFIC HY I-5,9420,6,3193798,DRVR,0,9,PSNGR CAR,t,SS-O,PDO,NONE,STRGHT,S,1094.00,23.50,Mostly Cloudy,CLR,0,62.85,3.67,0.8,9,DRY,DAY,f,f,f
1691915,2016-02-21,18:00:00,SUNDAY,Portland N,1,304.5,45.562028,-122.678667,MN,STRGHT,PACIFIC HY I-5,9424,6,3194230,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,1219.00,59.50,Clear,CLR,0,47.83,2.01,0.01,9,WET,DLIT,f,f,f
1691915,2016-02-21,18:00:00,SUNDAY,Portland N,1,304.5,45.562028,-122.678667,MN,STRGHT,PACIFIC HY I-5,9424,6,3194231,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STRGHT,S,1219.00,59.50,Clear,CLR,0,47.83,2.01,0.01,9,WET,DLIT,f,f,f
1660357,2016-02-22,16:00:00,MONDAY,Portland N,1,308,45.613367,-122.678267,MN,BRIDGE,PACIFIC HY I-5,9458,3,3134606,DRVR,31,1,PSNGR CAR,t,REAR,INJ,INJC,STRGHT,S,1100.00,17.33,Clear,CLR,0,51.27,0.86,0.09,9,DRY,DAY,t,t,f
1660357,2016-02-22,16:00:00,MONDAY,Portland N,1,308,45.613367,-122.678267,MN,BRIDGE,PACIFIC HY I-5,9458,3,3134607,DRVR,46,1,SEMI TOW,f,REAR,INJ,NONE,STRGHT,S,1100.00,17.33,Clear,CLR,0,51.27,0.86,0.09,9,DRY,DAY,t,t,f
1661385,2016-02-28,10:00:00,SUNDAY,Portland N,1,305.5,45.578178,-122.677781,CN,CURVE,NB EX LOMBARD WB C2,322,1,3136597,DRVR,25,1,PSNGR CAR,t,FIX,INJ,INJC,STRGHT,NE,1067.00,58.67,Light Rain,RAIN,0.0212,51.81,5.6,1,9,WET,DAY,t,f,f
1661565,2016-02-29,00:00:00,MONDAY,Portland N,1,305,45.572872,-122.678744,MN,STRGHT,PACIFIC HY I-5,9420,6,3136922,DRVR,45,1,PSNGR CAR,f,REAR,INJ,INJC,STRGHT,S,215.00,56.50,Mostly Cloudy,CLR,0,46.2,1.25,0.79,9,DRY,DAY,f,f,f
1661565,2016-02-29,00:00:00,MONDAY,Portland N,1,305,45.572872,-122.678744,MN,STRGHT,PACIFIC HY I-5,9420,6,3136921,DRVR,30,1,SEMI TOW,t,REAR,INJ,NONE,STRGHT,S,215.00,56.50,Mostly Cloudy,CLR,0,46.2,1.25,0.79,9,DRY,DAY,f,f,f
1661249,2016-03-05,02:00:00,SATURDAY,Portland SW,1,299.5,45.496117,-122.673531,MN,STRGHT,PACIFIC HY I-5,9493,6,3136343,DRVR,18,2,PSNGR CAR,t,FIX,INJ,INJC,STRGHT,S,127.00,58.00,Light Rain,RAIN,0.0532,50.2,2.84,1,9,WET,DLIT,t,f,f
1694085,2016-03-07,06:00:00,MONDAY,Portland NE,1,301.5,45.525147,-122.662897,CN,BRIDGE,NB EXTO BANFIELD C1,305,2,3198145,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,W,953.00,52.50,Possible Drizzle,RAIN,0.003,44.07,3.55,1,9,WET,DAWN,f,f,f
1694085,2016-03-07,06:00:00,MONDAY,Portland NE,1,301.5,45.525147,-122.662897,CN,BRIDGE,NB EXTO BANFIELD C1,305,2,3198146,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STOP,W,953.00,52.50,Possible Drizzle,RAIN,0.003,44.07,3.55,1,9,WET,DAWN,f,f,f
1661466,2016-03-09,21:00:00,WEDNESDAY,Portland N,1,305.5,45.577225,-122.6775,CN,INTER,N LOMBARD ST,9418,,3136743,DRVR,29,2,PSNGR CAR,f,REAR,INJ,INJC,STOP,NE,674.00,59.67,Drizzle,RAIN,0.0031,51.44,2.92,1,9,WET,DLIT,f,f,f
